,t,i,Ia_1,Ia_2,Ia_3,Ia_4,Ia_5,Ia_6,Im_1,Im_2,Im_3,Im_4,Im_5,Im_6,Ip_1,Ip_2,Ip_3,Ip_4,Ip_5,Ip_6,y
0,0,0,0.508880896811518,0.0,0.0,0.0,0.0,0.042297329349883867,0.0,0.0,0.0,0.0,0.0,0.0,84.7056720677407,7.153163964813305,22.738308165684813,32.32208713607381,0.07173192109103452,4.631964436696345,3.2165938581891e-05
1,0,1,0.02310769255826095,0.0,0.0,0.0,0.0,0.016711780042771372,0.0,0.0,0.0,0.0,0.0,0.0,3.8463865323818562,160.647292253488,1.8213152728989914,30.06606980066851,0.23749926910713004,1.8301006711720733,1.9665012547526768e-05
2,0,2,0.03691063236289216,0.0,0.0,0.0,0.0,0.027379353586438514,0.0,0.0,0.0,0.0,0.0,0.0,6.1439522299499965,3.7979282454448566,75.05441492605993,15.489869760446512,0.14395823545727457,2.99830258934459,1.6714481466393327e-05
3,0,3,0.11051385295131033,0.0,0.0,0.0,0.0,0.06737423348804321,0.0,0.0,0.0,0.0,0.0,0.0,18.395562194788855,24.511932645763988,4.067628194013421,133.44464023198137,0.13784265540618784,7.37812666338351,2.915395744834674e-05
4,0,4,0.012596998075340558,0.0,0.0,0.0,0.0,0.04548339782869398,0.0,0.0,0.0,0.0,0.0,0.0,2.0968308983368518,12.436269824585542,1.9700572148892406,8.549240088357223,15.254237151818284,4.980869583039069,8.63067774002388e-06
5,0,5,0.05028067149733949,0.0,0.0,0.0,0.0,0.7567505874941016,0.0,0.0,0.0,0.0,0.0,0.0,8.369459529499547,5.6780963429185665,2.894158278938109,23.233686427106466,0.3725285706702801,82.87146878060204,1.8797223567646942e-05
0,1,0,15.53289241749934,1.2760346077783764,4.083614504693204,5.788689690868891,0.012819353914679523,0.8606073557643269,13.01986021015918,1.093192186012358,3.498492141936572,4.959245066699414,0.010982488869729735,0.7134083491661988,93.21768113906148,7.788976603945297,25.068854653043857,35.452868524118855,0.07837061048141662,5.116478454333765,3.539731426217077e-05
1,1,1,0.70533066729966,28.657459212412725,0.3270933532888719,5.38465067454847,0.042443965515689276,0.34002810706449504,0.5912167832846098,24.55114484435563,0.28022564932259036,4.613099633890704,0.03636223650315713,0.2818694133929968,4.232907012725337,174.92650902519028,2.0079896675240887,32.978328880576115,0.2594794956793983,2.0215333647924396,2.1411956566122975e-05
2,1,2,1.1266465004816755,0.6775026971121768,13.479160155629362,2.7741416888615658,0.02572706183231199,0.5570770886655539,0.9443688624283922,0.5804236420944818,11.5477932185268,2.3766429398544697,0.02204067163639726,0.46179415446692684,6.7613533536111445,4.135509040859109,82.7470630242457,16.990249229912244,0.15728136964707937,3.311931861224785,1.8426863058062076e-05
3,1,3,3.3732840027827735,4.372620914798754,0.7305128143983866,23.89912538631969,0.024634134389745096,1.3708373984834676,2.827527866987481,3.74607004176365,0.6258409891089195,20.474688746486667,0.021104348046823186,1.1363682158617163,20.244118359349663,26.690688321209436,4.484536810536919,146.37035243038625,0.15059980117990573,8.14989549735655,3.19768012306909e-05
