0,1,2,3,4
2.1371083024890266e-07,1.3294370901296689e-08,1.8976401213816854e-07,9.819048248374348e-08,1.9557228836085672e-07
1.8952966934892574e-07,1.0174338206617783e-08,1.6804748578786387e-07,8.88427867350777e-08,1.7549003747736074e-07
1.2511742620746786e-07,8.070580806931504e-08,1.0641315432104852e-07,6.718987571984638e-08,9.970817696353334e-08
1.098597625560966e-07,7.606724681617809e-08,1.1200414849028655e-07,6.760698182351328e-08,9.315259497974173e-08
1.6624058504003114e-07,4.5861861590452046e-09,1.4592088324601378e-07,8.22376295066427e-08,1.5869112653717274e-07
1.63676336235101e-07,3.077902563504773e-09,1.4311416829196958e-07,8.235181049080322e-08,1.577411360472617e-07
1.6196927057490938e-07,1.6180897582852425e-09,1.410598737205935e-07,8.285629543982299e-08,1.5756622687042063e-07
1.6076843134352467e-07,1.8410369028455045e-10,1.3944917419297098e-07,8.359250254296855e-08,1.5784958009633106e-07
1.5986417245372262e-07,-1.2356243183299217e-09,1.3809629312832348e-07,8.446361594839955e-08,1.5839967634273857e-07
1.1040270119368818e-07,7.532748323442915e-08,9.917785805892065e-08,5.903005088210436e-08,9.16252105593307e-08
9.861282681705791e-08,7.308938580908425e-08,1.0820667557607105e-07,6.234536946583375e-08,8.871197782048111e-08
1.5795549654220671e-07,-5.452881295965231e-09,1.3471478380606745e-07,8.742526663452325e-08,1.6074845627059885e-07
1.5740868829152035e-07,-6.848391336545485e-09,1.3366027397739966e-07,8.844002629389286e-08,1.6159489967636633e-07
1.5692673507942343e-07,-8.24138577162721e-09,1.3265142960601915e-07,8.948131428397936e-08,1.6249562566819083e-07
1.5646989848697496e-07,-9.631061883496126e-09,1.316580418165891e-07,9.05278888010628e-08,1.6341141694518332e-07
1.5598571313488364e-07,-1.1014371801351287e-08,1.3063992204869242e-07,9.154976348728353e-08,1.6428836987801607e-07
1.0551225128029213e-07,7.627722929654025e-08,1.0024582736324294e-07,5.6224016657269515e-08,9.142210108159961e-08
9.245697674186605e-08,7.364573036515974e-08,1.0952390805739369e-07,6.028293623504925e-08,8.864293394780234e-08
1.5459652148923302e-07,-1.5137935766866006e-08,1.2760611629076223e-07,9.459501602710816e-08,1.6692195341140505e-07
1.5413702980263047e-07,-1.6502025336428552e-08,1.2658862023197913e-07,9.559247895917422e-08,1.6778300600765997e-07
1.5366205729516606e-07,-1.7858618729973515e-08,1.2555523476237504e-07,9.656990404894193e-08,1.686170760174297e-07
1.5321558047946898e-07,-1.9212268322608796e-08,1.2453888974473352e-07,9.755419212464051e-08,1.694719442651927e-07
1.5278428161325129e-07,-2.0561704604961526e-08,1.2352986273408137e-07,9.853713883891247e-08,1.7033377060586796e-07
1.00804016191215e-07,7.731448178805817e-08,1.013905923730341e-07,5.342811036597383e-08,9.142087190521897e-08
8.637840078797019e-08,7.423228544847218e-08,1.1078243611725375e-07,5.8178852203988305e-08,8.867665617425238e-08
1.5141276227242548e-07,-2.4558961218052267e-08,1.2042619844217227e-07,1.0136489811145954e-07,1.7277531326461297e-07
1.677557978748202e-06,-2.87556332991898e-07,1.3267156181772544e-06,1.1366439902489148e-06,1.928864471710169e-06
1.6724424498771674e-06,-3.0209251073498317e-07,1.3151218013246602e-06,1.1466483206628673e-06,1.937547061248835e-06
1.667187488494987e-06,-3.165019115829947e-07,1.3034171302814616e-06,1.1563898264191951e-06,1.945962520289977e-06
1.662255983295181e-06,-3.308620297931503e-07,1.2919404972870626e-06,1.1661771394941896e-06,1.9546475514121096e-06
1.0678386105853358e-06,8.687745792014438e-07,1.135573949387737e-06,5.607782723455828e-07,1.015175225568306e-06
8.936863657793715e-07,8.299765717081995e-07,1.2406541508443976e-06,6.21265454557275e-07,9.85153172394614e-07
1.6468172922527077e-06,-3.730889375516595e-07,1.2571408902806577e-06,1.1939159578159037e-06,1.9793344681280235e-06
1.6417775862320704e-06,-3.86910497823205e-07,1.245682991845976e-06,1.2028010940066806e-06,1.987486376690002e-06
1.636726032209821e-06,-4.005730161593908e-07,1.2342746851678404e-06,1.2114333667712003e-06,1.9955243784903693e-06
1.6313246353873095e-06,-4.1397999545999875e-07,1.2227001897256685e-06,1.2195423762446192e-06,2.003035774933384e-06
1.6257754277832821e-06,-4.271579873864504e-07,1.2111189498059114e-06,1.2272515283076957e-06,2.010259678484431e-06
1.018650449530417e-06,8.753999166087351e-07,1.1373914979713753e-06,5.261651130119659e-07,1.0135043898640406e-06
8.337014536847763e-07,8.324990232194586e-07,1.242018079293558e-06,5.93997207915705e-07,9.837101431351257e-07
1.6093973419176736e-06,-4.6542460589435797e-07,1.1773607840771117e-06,1.2486037683305765e-06,2.031616985940492e-06
1.6034716647353314e-06,-4.775305018006334e-07,1.1661479849799379e-06,1.2546053459842727e-06,2.0379266048789597e-06
1.5977471528222732e-06,-4.893895515223898e-07,1.155302324563587e-06,1.2603311339896066e-06,2.0443739946905273e-06
1.5918777580684576e-06,-5.008715524600737e-07,1.1446265388608463e-06,1.2654720340740489e-06,2.0505150507782355e-06
1.585569482110567e-06,-5.118471303903542e-07,1.1339638949678164e-06,1.2697472339662308e-06,2.0559583220673693e-06
9.78918379334845e-07,8.763634184263395e-07,1.125436248397463e-06,4.906835926687203e-07,1.0099355620257702e-06
7.89589344509285e-07,8.297237131606248e-07,1.2270942766122423e-06,5.647571568377466e-07,9.79379330280711e-07
1.5658138064840599e-06,-5.418582014285245e-07,1.1037370918039347e-06,1.278325036763537e-06,2.070325809379828e-06
1.5585788603315907e-06,-5.505976536394859e-07,1.0941733460167123e-06,1.2792718658682965e-06,2.073915162838578e-06
1.550949576868349e-06,-5.585801904248755e-07,1.08491818094911e-06,1.2790970002357006e-06,2.076776577271904e-06
1.5432407662573616e-06,-5.658524767393979e-07,1.0762513111989908e-06,1.2779964024167842e-06,2.079317950847386e-06
1.5351797573886338e-06,-5.72242930789813e-07,1.068056764659196e-06,1.2756639286013885e-06,2.081138970819459e-06
9.609641122981404e-07,8.657506068775086e-07,1.0869184980211467e-06,4.5683061684052827e-07,1.0016924480401496e-06
7.801196583303046e-07,8.159921891381714e-07,1.18124773093587e-06,5.347930393975794e-07,9.68371685707596e-07
1.5074728870540322e-06,-5.847114699361315e-07,1.0460641772928968e-06,1.2592166795384514e-06,2.079901588998874e-06
1.4972752595984163e-06,-5.863921447149522e-07,1.0400058973307711e-06,1.250477183417132e-06,2.0774041425057128e-06
1.486238086943859e-06,-5.865011221130507e-07,1.0344404573908901e-06,1.2396273858526874e-06,2.0732254566569854e-06
1.4743262353188111e-06,-5.849023411570521e-07,1.0294140693499016e-06,1.226543542374828e-06,2.067236151173709e-06
1.46168583398995e-06,-5.815357924221024e-07,1.025111873185885e-06,1.211272838754077e-06,2.0595805489153444e-06
9.84212032273256e-07,8.300526882611079e-07,9.99328166332292e-07,4.2967024640560935e-07,9.797776315233662e-07
8.344335093197711e-07,7.787408012745417e-07,1.079731016772083e-06,5.068366953104536e-07,9.403680826134717e-07
1.418135283182321e-06,-5.589363151247299e-07,1.0160263919916532e-06,1.150315929422464e-06,2.0235569014799253e-06
1.40137693244997e-06,-5.466186434872024e-07,1.0140283253622748e-06,1.1243660770569995e-06,2.0061512304945748e-06
1.383449119568926e-06,-5.317113623461381e-07,1.0125762050154594e-06,1.0955368198093294e-06,1.9858016262053067e-06
1.3642524754820408e-06,-5.140396218122554e-07,1.0114734266576624e-06,1.063688608045128e-06,1.9621033147537566e-06
1.3438866195774986e-06,-4.93507539878269e-07,1.0105713632300333e-06,1.0288400144975225e-06,1.9348693109022474e-06
1.0671382140304003e-06,7.467472996545326e-07,8.384704508084137e-07,4.1608257153512864e-07,9.238953639358938e-07
9.749286030864074e-07,6.966993945267246e-07,8.965993655838466e-07,4.831136973972895e-07,8.731341476076751e-07
1.275305868758907e-06,-4.1437011130774465e-07,1.0076572694752435e-06,9.069104011455033e-07,1.8296092255832473e-06
1.2500389241467648e-06,-3.823164335694701e-07,1.0060550782461352e-06,8.610540087999117e-07,1.7861894668666628e-06
1.2240963476676674e-06,-3.4774344307459916e-07,1.0039123769225324e-06,8.132269233006582e-07,1.7388854023582824e-06
1.1975792120750623e-06,-3.109078505335731e-07,1.0010193390845989e-06,7.637897503561383e-07,1.687730377247069e-06
1.1703694835715632e-06,-2.7211730322307787e-07,9.97084569387812e-07,7.130702570877574e-07,1.6326146025692077e-06
1.185824852915704e-06,6.01656291637292e-07,6.146498116140507e-07,4.138683586525397e-07,8.075396254046361e-07
1.158200518608784e-06,5.60432882689405e-07,6.49375718608592e-07,4.5820392224970526e-07,7.456877437854562e-07
1.0892807909746574e-06,-1.4900683584397218e-07,9.783676906311644e-07,5.595682794746201e-07,1.4495091435365057e-06
1.063918701467613e-06,-1.0756896096769649e-07,9.696886840590452e-07,5.100210925722017e-07,1.3848252744519955e-06
1.039525644822497e-06,-6.686205620516392e-08,9.595001610624502e-07,4.620543910556918e-07,1.319018806292721e-06
1.01699799904718e-06,-2.748727726618038e-08,9.481055658833044e-07,4.1635495757446645e-07,1.253411405728512e-06
9.969639700060932e-07,1.0052182154140715e-08,9.357278935395109e-07,3.7340729108844445e-07,1.1890350211080122e-06
1.2347251867656948e-06,4.374143220903243e-07,4.092978868998533e-07,4.0100221771483106e-07,6.48068862840275e-07
1.2420491204628123e-06,4.152372847981525e-07,4.316092441558807e-07,4.178068411687729e-07,5.895859639289277e-07
9.537546461229855e-07,1.0781782427055737e-07,8.929804327103014e-07,2.632561249609386e-07,1.0089611601695537e-06
9.462728752095494e-07,1.3466882105200966e-07,8.7763790660273e-07,2.3322834914369143e-07,9.555624320236306e-07
9.428002139581126e-07,1.5853298281729092e-07,8.62138038112026e-07,2.0650090331364889e-07,9.062556310662954e-07
9.432920000133131e-07,1.7943942812861445e-07,8.464702099771888e-07,1.8285985373341934e-07,8.610193609573217e-07
9.480724413675506e-07,1.9755915029013607e-07,8.309659549453518e-07,1.6211576952947815e-07,8.200797842231847e-07
1.1399663294355291e-06,3.2885789812025294e-07,2.958707499410127e-07,3.663426726557919e-07,5.248832871069969e-07
1.1560751698025363e-06,3.2602212980907883e-07,3.157043263570651e-07,3.6677420698876364e-07,4.824782488564864e-07
9.89483066771548e-07,2.3777654017294454e-07,7.879720004324433e-07,1.1455427388411591e-07,7.225245868802018e-07
1.0126763101507101e-06,2.473969299262296e-07,7.750887857075973e-07,1.0256791671227208e-07,6.975144586338513e-07
1.0401841900290774e-06,2.556422807706651e-07,7.632206668347105e-07,9.203472592621999e-08,6.756839884256001e-07
1.0716154587196593e-06,2.627989457058631e-07,7.52460637425177e-07,8.269540100994031e-08,6.566274751776849e-07
1.1071905581422554e-06,2.691231542850279e-07,7.427838276995078e-07,7.432458493893385e-08,6.400032523349766e-07
9.91846283104266e-07,2.8598046679099597e-07,2.568330083495871e-07,3.345990964507187e-07,4.757014697958904e-07
1.0167533007105462e-06,2.939874883435102e-07,2.7543628952196216e-07,3.306043290151678e-07,4.4459751164542547e-07
