cve_umun,pop
09002,432205
09003,614447
09004,217686
09005,1173351
09006,404695
09007,1835486
09008,247622
09009,152685
09010,759137
09011,392313
09012,699928
09013,442178
09014,434153
09015,545884
09016,414470
09017,443704
13069,168302
15010,31898
15013,523674
15020,293444
15024,178847
15025,400057
15029,200750
15031,705193
15033,1645352
15035,163244
15037,284965
15039,542211
15044,28217
15057,834434
15058,1077208
15060,430601
15068,30785
15070,304088
15081,547503
15083,14130
15091,65459
15092,58507
15095,103696
15099,277562
15100,47044
15104,672202
15108,157645
15109,516341
15120,280455
15121,555163
15122,391731
