origen,Ip0,E0
09002,14,10
09003,22,16
09004,21,14
09005,83,58
09006,18,13
09007,85,61
09008,12,8
09009,3,2
09010,49,34
09011,12,8
09012,18,13
09013,14,10
09014,10,7
09015,71,49
09016,13,10
09017,28,19
13069,0,0
15010,16,780
15013,28,19
15020,4,2
15024,10,6
15025,42,28
15029,0,0
15031,29,21
15033,51,36
15035,0,0
15037,2,2
15039,11,8
15044,6,300
15057,38,26
15058,27,20
15060,2,1
15068,0,0
15070,7,5
15081,10,7
15083,8,420
15091,0,0
15092,5,3
15095,1,1
15099,3,2
15100,0,0
15104,23,16
15108,6,4
15109,18,13
15120,7,5
15121,16,11
15122,7,5
